Employee_ID,Name,Department,Company_ID,Job_Title,Seniority_Level,Education_Level,Work_Location,Newsletter_Subscription,Campaign_Response_Rate (%),Tenure_Years,Event_Attendance,Influence_Score,Decision_Maker_Flag,Preferred_Contact_Method,Language,Last_Contact_Date,Next_Followup_Date,Owner_Rep,Active_Flag,Data_Source,y
E00001,Z**** G*******,Marketing,C0015,Marketing Specialist,Mid,Master,Office,No,27.0,5.0,3.0,61.0,No,Email,Turkish,2024-04-06,2024-04-11,E**** T*******,Yes,CRM,1
E00002,L**** Y*******,Procurement,C0123,Strategic Buyer,Senior,Bachelor,Office,Yes,0.0,7.0,2.0,94.0,Yes,Phone,Turkish,2024-08-05,2024-08-24,F**** O*******,Yes,CRM,0
E00003,Z**** A*******,Quality,C0589,QA Specialist,Junior,Bachelor,Office,Yes,0.0,1.0,0.0,49.0,No,Phone,Turkish,2024-07-16,2024-07-28,H**** N*******,Yes,LinkedIn,0
E00004,B**** A*******,Marketing,C0410,Digital Marketing Executive,Junior,Master,Office,No,15.0,2.0,3.0,32.0,No,Events,Turkish,2024-08-30,2024-09-06,E**** T*******,Yes,LinkedIn,1
E00005,T**** D*******,Management,C0408,Country Manager,Mid,Bachelor,Field,Yes,0.0,6.0,2.0,67.0,Yes,Email,Turkish,2024-04-26,2024-05-25,D**** S*******,Yes,CRM,0
E00006,L**** *******,Engineering,C0584,Mechanical Engineer,Junior,PhD,Field,No,2.0,2.0,1.0,45.0,No,Phone,,2024-08-16,2024-09-07,G**** R*******,Yes,LinkedIn,1
E00007,E**** K*******,Procurement,C0177,Procurement Manager,Director,High School,Office,No,5.0,14.0,2.0,62.0,Yes,Email,English,2024-09-10,2024-10-06,G**** R*******,Yes,CRM,1
E00008,L**** K*******,Quality,C0301,Quality Assurance Lead,Junior,Bachelor,Office,Yes,3.0,2.0,2.0,56.0,No,Email,Turkish,2024-05-20,2024-06-18,D**** S*******,Yes,Email Campaign,1
E00009,C**** G*******,Quality,C0389,QA Specialist,Senior,Bachelor,Office,Yes,5.0,8.0,0.0,77.0,Yes,LinkedIn,English,2024-02-25,2024-03-05,A**** Y*******,Yes,Fair,1
E00010,E**** O*******,Engineering,C0283,Process Engineer,Mid,Bachelor,Factory,Yes,1.0,6.0,1.0,50.0,No,Phone,Turkish,2024-07-17,2024-08-07,B**** K*******,Yes,CRM,1
E00011,S**** K*******,Quality,C0272,QA Technician,Junior,Master,Office,Yes,1.0,2.0,1.0,66.0,No,Phone,Turkish,2024-04-19,2024-04-25,D**** S*******,Yes,CRM,1
